anon_id,user_type,gender,age,education_level
0,paid,male,53,other/unspecified
1,free,female,50,other/unspecified
2,free,female,49,some college
3,free,male,50,masters degree
4,paid,unknown,70,other/unspecified
5,free,female,54,phd
6,paid,female,55,bachelors degree
7,free,male,59,masters degree
8,free,female,57,some college
9,paid,female,63,some college
10,free,male,57,masters degree
11,paid,female,56,masters degree
12,paid,male,43,some college
13,paid,female,61,masters degree
14,paid,male,27,bachelors degree
15,paid,female,63,bachelors degree
16,paid,male,61,bachelors degree
17,paid,female,68,high school
18,paid,male,28,bachelors degree
19,free,male,78,some high school
20,paid,female,64,some college
21,paid,unknown,71,professional degree
22,paid,male,26,some college
23,free,unknown,79,other/unspecified
24,paid,female,61,high school
25,paid,male,79,masters degree
26,free,male,30,some college
27,paid,male,56,some college
28,paid,female,80,other/unspecified
29,paid,male,65,bachelors degree
30,paid,female,53,high school
31,free,male,48,some college
32,paid,female,74,bachelors degree
33,paid,male,50,other/unspecified
34,paid,male,60,bachelors degree
35,paid,female,47,masters degree
36,free,male,34,masters degree
37,paid,male,73,high school
38,paid,female,44,bachelors degree
39,free,male,64,some college
40,free,female,37,high school
41,paid,female,49,bachelors degree
42,paid,male,54,bachelors degree
43,paid,male,60,professional degree
44,free,male,24,bachelors degree
45,paid,female,59,some college
46,free,female,27,bachelors degree
47,paid,male,59,bachelors degree
48,free,male,23,some college
49,free,female,80,some high school
50,paid,male,30,masters degree
51,free,male,69,masters degree
52,free,female,59,bachelors degree
53,free,male,51,associates degree
54,paid,female,62,bachelors degree
55,free,female,41,masters degree
56,free,male,53,masters degree
57,paid,male,54,bachelors degree
58,free,female,53,bachelors degree
59,paid,male,49,bachelors degree
60,paid,female,70,some college
61,paid,male,61,bachelors degree
62,free,female,55,bachelors degree
63,paid,female,83,other/unspecified
64,paid,male,78,professional degree
65,free,female,44,masters degree
66,free,male,65,associates degree
67,paid,unknown,75,other/unspecified
68,paid,female,69,masters degree
69,free,female,49,professional degree
70,paid,male,81,some high school
71,free,male,32,masters degree
72,paid,female,24,bachelors degree
73,paid,male,60,some college
74,paid,male,71,some college
75,free,female,47,high school
76,free,female,35,masters degree
77,paid,male,50,bachelors degree
78,free,female,60,some college
79,paid,female,47,masters degree
80,paid,unknown,46,bachelors degree
81,free,unknown,51,other/unspecified
82,free,male,25,some high school
83,paid,female,47,masters degree
84,paid,male,25,masters degree
85,paid,female,46,bachelors degree
86,free,female,44,some college
87,free,female,44,masters degree
88,free,male,39,masters degree
89,paid,male,69,some college
90,paid,unknown,52,other/unspecified
91,paid,female,70,bachelors degree
92,free,female,56,professional degree
93,free,female,46,masters degree
94,free,female,57,some college
95,paid,male,68,phd
96,free,female,62,some college
97,free,female,73,masters degree
98,paid,female,67,high school
99,paid,female,42,bachelors degree
100,paid,male,71,professional degree
101,free,male,43,phd
102,free,male,32,bachelors degree
103,free,female,52,bachelors degree
104,paid,male,57,bachelors degree
105,paid,female,59,bachelors degree
106,paid,female,61,high school
107,free,female,43,masters degree
108,paid,male,60,associates degree
109,free,male,46,masters degree
110,paid,female,71,high school
111,free,female,59,bachelors degree
112,paid,male,76,masters degree
113,paid,male,66,other/unspecified
114,free,male,40,bachelors degree
115,free,female,46,some college
116,free,male,20,bachelors degree
117,paid,female,57,some college
118,free,male,41,associates degree
119,paid,male,57,high school
120,paid,female,65,bachelors degree
121,free,female,26,high school
122,free,male,61,bachelors degree
123,paid,female,65,high school
124,free,unknown,79,other/unspecified
125,paid,female,66,professional degree
126,paid,female,69,some high school
127,free,male,31,associates degree
128,free,male,27,professional degree
129,paid,male,50,bachelors degree
130,free,male,47,masters degree
131,paid,female,54,associates degree
132,paid,male,45,bachelors degree
133,free,male,29,some college
134,paid,male,74,phd
135,free,male,76,some college
136,free,female,70,professional degree
137,free,female,68,masters degree
138,paid,male,75,some college
139,free,male,62,some college
140,free,female,25,bachelors degree
141,free,female,50,masters degree
142,free,male,50,associates degree
143,paid,male,64,bachelors degree
144,paid,male,21,bachelors degree
145,paid,male,60,some college
146,free,male,36,other/unspecified
147,free,female,63,masters degree
148,paid,male,66,some college
149,free,unknown,64,other/unspecified
150,paid,male,39,some college
151,free,female,49,bachelors degree
152,paid,female,63,associates degree
153,free,male,51,bachelors degree
154,paid,female,54,some college
155,free,female,86,some college
156,free,male,32,some college
157,paid,male,75,bachelors degree
158,free,male,45,bachelors degree
159,paid,unknown,63,other/unspecified
160,paid,male,57,some college
161,free,female,31,masters degree
162,free,male,39,professional degree
163,paid,female,70,other/unspecified
164,paid,unknown,67,professional degree
165,free,female,40,some high school
166,paid,female,77,masters degree
167,paid,male,53,bachelors degree
168,paid,female,47,bachelors degree
169,paid,female,62,associates degree
170,free,unknown,62,other/unspecified
171,paid,female,68,high school
172,free,female,62,masters degree
173,free,male,56,associates degree
174,paid,male,55,some college
175,free,male,59,masters degree
176,free,male,40,bachelors degree
177,paid,male,35,masters degree
178,free,male,42,masters degree
179,paid,female,42,associates degree
180,free,male,28,other/unspecified
181,paid,unknown,67,other/unspecified
182,paid,unknown,38,other/unspecified
183,free,female,54,high school
184,paid,female,53,bachelors degree
185,free,female,53,high school
186,paid,male,54,professional degree
187,free,male,47,some college
188,paid,female,79,bachelors degree
189,paid,female,73,masters degree
190,free,male,46,bachelors degree
191,paid,female,22,bachelors degree
192,paid,female,81,phd
193,free,male,22,bachelors degree
194,paid,female,54,bachelors degree
195,paid,male,42,professional degree
196,free,male,32,bachelors degree
197,free,female,71,high school
198,free,male,61,bachelors degree
199,free,male,69,some college
200,free,unknown,21,other/unspecified
201,paid,male,83,bachelors degree
202,free,male,56,some college
203,paid,female,61,some college
204,paid,male,33,professional degree
205,paid,unknown,82,bachelors degree
206,paid,male,64,some college
207,paid,female,37,professional degree
208,free,male,30,bachelors degree
209,free,male,67,bachelors degree
210,free,male,68,some high school
211,paid,female,53,professional degree
212,free,male,41,other/unspecified
213,free,male,77,other/unspecified
214,paid,female,34,bachelors degree
215,paid,female,66,bachelors degree
216,free,male,41,bachelors degree
217,free,male,73,some college
218,paid,unknown,34,other/unspecified
219,paid,female,29,masters degree
220,paid,female,59,masters degree
221,paid,female,59,bachelors degree
222,free,female,57,some high school
223,free,female,21,some college
224,paid,female,67,other/unspecified
225,free,female,71,masters degree
226,free,male,53,some college
227,free,female,62,masters degree
228,free,female,65,some college
229,paid,female,72,some college
230,paid,male,20,some college
231,paid,female,49,some college
232,paid,female,57,phd
233,free,female,66,high school
234,paid,female,56,associates degree
235,paid,male,62,bachelors degree
236,free,male,73,bachelors degree
237,paid,male,37,masters degree
238,free,female,58,masters degree
239,free,male,56,bachelors degree
240,paid,male,61,bachelors degree
241,free,female,20,high school
242,paid,male,48,high school
243,paid,female,76,bachelors degree
244,paid,female,56,masters degree
245,paid,male,50,masters degree
246,paid,male,62,some college
247,free,male,57,associates degree
248,paid,male,80,phd
249,free,female,70,some college
250,free,female,48,other/unspecified
251,paid,male,48,phd
252,paid,male,72,professional degree
253,paid,unknown,73,other/unspecified
254,paid,male,64,bachelors degree
255,paid,male,52,some college
256,free,male,33,bachelors degree
257,paid,female,76,bachelors degree
258,paid,male,66,masters degree
259,paid,male,69,masters degree
260,paid,female,69,bachelors degree
261,free,male,23,some college
262,paid,male,58,bachelors degree
263,paid,female,75,masters degree
264,free,male,54,bachelors degree
265,free,female,74,high school
266,paid,female,64,bachelors degree
267,free,male,50,some high school
268,free,female,52,some college
269,paid,male,35,some college
270,free,female,62,some college
271,paid,male,24,bachelors degree
272,paid,female,72,bachelors degree
273,paid,female,63,bachelors degree
274,free,female,18,high school
275,paid,female,53,bachelors degree
276,paid,female,51,high school
277,free,male,29,masters degree
278,paid,male,74,associates degree
279,free,male,44,masters degree
280,free,female,68,phd
281,free,female,22,some college
282,paid,female,54,professional degree
283,paid,female,64,professional degree
284,free,male,33,phd
285,paid,female,66,masters degree
286,free,male,65,bachelors degree
287,paid,female,63,masters degree
288,paid,female,61,masters degree
289,free,female,58,high school
290,paid,female,61,masters degree
291,paid,male,59,bachelors degree
292,free,female,20,some college
293,free,female,68,bachelors degree
294,free,female,37,some high school
295,free,male,39,bachelors degree
296,free,female,57,some high school
297,free,male,61,masters degree
298,paid,female,68,some college
299,paid,female,58,associates degree
300,free,female,38,high school
301,paid,female,44,masters degree
302,paid,female,63,high school
303,paid,female,65,some college
304,paid,female,66,some college
305,paid,female,71,bachelors degree
306,paid,female,61,high school
307,paid,female,49,masters degree
308,free,female,50,some college
309,paid,female,38,professional degree
310,free,unknown,58,other/unspecified
311,paid,male,50,masters degree
312,paid,female,78,high school
313,free,male,45,some college
314,paid,female,64,bachelors degree
315,free,male,54,professional degree
316,free,female,66,masters degree
317,paid,male,71,professional degree
318,paid,female,77,bachelors degree
319,free,male,39,masters degree
320,paid,male,34,bachelors degree
321,free,unknown,52,other/unspecified
322,paid,male,64,masters degree
323,paid,male,65,masters degree
324,free,male,62,professional degree
325,free,female,22,some college
326,free,female,60,bachelors degree
327,paid,female,68,other/unspecified
328,free,male,54,associates degree
329,free,female,53,associates degree
330,free,female,58,bachelors degree
331,free,male,59,masters degree
332,paid,male,68,some college
333,free,female,49,some college
334,paid,female,62,high school
335,free,female,65,bachelors degree
336,paid,male,78,some college
337,free,male,56,masters degree
338,free,female,48,some college
339,paid,male,75,some college
340,paid,male,69,some high school
341,paid,female,72,masters degree
342,free,male,56,bachelors degree
343,paid,female,75,other/unspecified
344,paid,female,82,bachelors degree
345,paid,male,38,masters degree
346,paid,female,66,bachelors degree
347,free,male,61,bachelors degree
348,free,female,60,professional degree
349,paid,female,56,bachelors degree
350,paid,male,28,bachelors degree
351,paid,female,55,some college
352,free,female,61,bachelors degree
353,paid,male,68,bachelors degree
354,paid,female,50,bachelors degree
355,free,unknown,45,other/unspecified
356,free,male,73,masters degree
357,free,male,72,some college
358,paid,male,56,some college
359,free,unknown,69,other/unspecified
360,paid,male,27,bachelors degree
361,paid,male,77,high school
362,paid,female,51,other/unspecified
363,paid,female,53,masters degree
364,paid,female,56,some college
365,paid,male,34,some college
366,free,female,36,high school
367,free,male,67,phd
368,free,female,46,some college
369,paid,female,64,high school
370,paid,female,76,high school
371,paid,male,68,bachelors degree
372,free,female,67,bachelors degree
373,free,male,22,high school
374,free,unknown,77,other/unspecified
375,paid,female,55,associates degree
376,free,male,58,bachelors degree
377,free,unknown,69,other/unspecified
378,free,female,36,phd
379,paid,male,53,bachelors degree
380,paid,male,66,professional degree
381,paid,male,69,bachelors degree
382,free,female,57,bachelors degree
383,free,female,40,professional degree
384,paid,male,54,high school
385,free,female,83,some college
386,paid,male,59,associates degree
387,paid,male,75,masters degree
388,paid,female,22,some college
389,paid,female,54,bachelors degree
390,free,male,70,bachelors degree
391,free,male,46,bachelors degree
392,free,female,51,associates degree
393,free,male,72,some college
394,paid,female,65,bachelors degree
395,free,female,62,other/unspecified
396,free,female,69,some high school
397,paid,female,77,some college
398,free,male,60,some college
399,paid,unknown,64,other/unspecified
400,paid,female,64,some college
401,free,female,55,professional degree
402,free,unknown,52,other/unspecified
403,free,male,58,bachelors degree
404,free,male,61,masters degree
405,free,male,61,masters degree
406,free,male,56,professional degree
407,free,female,60,some college
408,free,female,61,associates degree
409,paid,female,63,bachelors degree
410,paid,male,68,bachelors degree
411,free,male,53,bachelors degree
412,paid,female,58,high school
413,free,male,62,some college
414,paid,female,58,bachelors degree
415,paid,male,45,bachelors degree
416,paid,female,82,bachelors degree
417,paid,female,75,masters degree
418,free,male,47,high school
419,free,female,21,some college
420,free,female,67,bachelors degree
421,free,male,20,bachelors degree
422,free,female,62,associates degree
423,free,male,38,bachelors degree
424,paid,female,64,high school
425,paid,female,68,some college
426,free,male,42,some college
427,free,male,34,bachelors degree
428,paid,male,44,bachelors degree
429,paid,female,68,bachelors degree
430,paid,female,79,some college
431,free,female,42,some college
432,free,female,29,other/unspecified
433,paid,female,65,bachelors degree
434,paid,female,70,some college
435,free,unknown,42,bachelors degree
436,free,female,71,some high school
437,paid,male,44,associates degree
438,free,male,48,some college
439,paid,female,33,bachelors degree
440,free,male,47,bachelors degree
441,paid,female,57,bachelors degree
442,paid,female,45,bachelors degree
443,free,female,54,associates degree
444,paid,male,76,some college
445,free,female,77,high school
446,paid,female,67,bachelors degree
447,free,male,47,masters degree
448,free,male,78,some college
449,free,female,56,bachelors degree
450,paid,female,64,phd
451,free,unknown,59,bachelors degree
452,free,female,53,bachelors degree
453,free,male,20,other/unspecified
454,paid,female,28,professional degree
455,paid,female,89,phd
456,free,male,18,high school
457,paid,male,26,some college
458,paid,female,52,some college
459,free,male,22,some college
460,paid,male,41,masters degree
461,free,male,58,masters degree
462,paid,male,59,some college
463,free,male,20,some college
464,free,female,65,professional degree
465,free,male,58,some college
466,paid,male,66,bachelors degree
467,paid,male,53,phd
468,free,female,22,bachelors degree
469,free,male,48,bachelors degree
470,free,male,41,other/unspecified
471,free,female,58,high school
472,free,male,64,masters degree
473,paid,female,70,high school
474,paid,female,72,masters degree
475,free,male,54,professional degree
476,paid,unknown,79,other/unspecified
477,free,male,50,bachelors degree
478,free,female,53,some college
479,free,male,38,some college
480,free,male,53,some college
481,paid,female,67,high school
482,free,female,51,bachelors degree
483,paid,male,53,bachelors degree
484,free,male,24,bachelors degree
485,paid,male,70,bachelors degree
486,free,male,57,professional degree
487,free,female,20,some college
488,free,female,58,masters degree
489,free,male,62,bachelors degree
490,free,female,66,some college
491,free,unknown,22,some college
