master_game_id,Attention,Flexibility,Language,Math,Memory,Mindfulness,Reasoning,Attention_Attentional_Deployment,Attention_Divided_Attention,Attention_Field_of_View,Attention_Information_Processing,Attention_Selective_Attention,Attention_Spatial_Orientation,Attention_Timing,Attention_Visualization,Flexibility_Flexibility,Flexibility_Response_Inhibition,Flexibility_Task_Switching,Language_Reading_Comprehension,Language_Verbal_Fluency,Language_Vocabulary_Proficiency,Math_Math,Math_Numerical_Calculation,Memory_Divided_Attention,Memory_Face-Name_Recall,Memory_Field_of_View,Memory_Information_Processing,Memory_Spatial_Recall,Memory_Working_Memory,Mindfulness_Breath_Awareness,Mindfulness_Mindfulness,Reasoning_Logical_Reasoning,Reasoning_Planning,Reasoning_Spatial_Reasoning
9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
