Complexity,Loss,Equation
1,0.2079604,"0.6562519"
3,0.19583513,"(sum_g ^ -0.20770945)"
5,0.18904978,"((sum_g - -1.8325996) ^ -0.18676242)"
7,0.18744478,"((sum_g ^ -0.20070837) - (0.2303548 ^ sum_g))"
9,0.18368158,"(((sum_g - (1.1540803 ^ sum_g)) * -0.040552765) + 0.8231858)"
10,0.18175614,"(((sum_g - (exp(sum_g) * 6.2483615e-8)) * -0.017184021) + 0.81105125)"
11,0.18078184,"((((sum_g - (1.1665912 ^ sum_g)) * sum_g) * -0.0034221543) + 0.7747272)"
12,0.17980227,"(((sum_g + (exp(sum_g * 0.5414714) * -0.00047477652)) * -0.023063364) + 0.83559704)"
13,0.17965813,"((((sum_g - (1.1654172 ^ sum_g)) * -0.0025734594) * (sum_g + sum_s1)) + 0.8035625)"
14,0.17919713,"(((sum_g - ((exp(sum_g) - (4.3195753 ^ sum_s1)) * 7.015267e-8)) * -0.017269237) + 0.8096995)"
15,0.17753026,"(((sum_g - ((exp(sum_g) - exp(sum_s1 * 1.5116471)) * 7.015267e-8)) * -0.017269213) + 0.8096992)"
