Complexity,Loss,Equation
1,0.85758156,"3.3713248"
3,0.4780361,"(sum_g ^ 0.51915747)"
5,0.3893427,"((sum_g ^ 0.39777014) * 1.3653926)"
7,0.38089296,"(4.4488926 - ((0.87621206 ^ sum_g) * 3.5311956))"
8,0.38065705,"(4.464244 - exp((sum_g * -0.13007414) + 1.2613659))"
9,0.3778879,"((sum_g ^ 0.39861506) + (1.0368986 - (0.7636749 ^ sum_g)))"
11,0.37723032,"((sum_g ^ 0.42581287) + (0.79465055 - ((0.4354979 ^ sum_g) * sum_g)))"
12,0.37722367,"((sum_g ^ 0.42663622) - ((exp(sum_g * -0.8389009) * sum_g) + -0.78824145))"
13,0.37612376,"(((sum_g ^ 0.33145365) - ((sum_g ^ (sum_s2 * -0.41587195)) * 0.21199596)) * 1.6147141)"
14,0.37544617,"((sum_g ^ 0.43407518) - ((exp((sum_s2 * 0.2247078) - sum_g) * sum_g) + -0.7338035))"
15,0.3702399,"(((sum_g ^ 0.42560175) - ((0.67040867 ^ (sum_s2 * (sum_g - sum_s2))) * 0.5215887)) + 0.7949941)"
