Complexity,Loss,Equation
1,0.24339919,"0.7764839"
3,0.18777534,"(0.9201501 ^ sum_s1)"
5,0.18135248,"(1.9539013 - (1.048867 ^ sum_s1))"
6,0.18135238,"(1.9539241 - exp(sum_s1 * 0.04772476))"
7,0.07202208,"((1.0602846 ^ sum_s2) - (sum_s1 * 0.11946351))"
9,0.0026661218,"((1.105172 ^ sum_s2) - ((sum_s2 + sum_s1) * 0.100007676))"
10,0.0026661067,"(exp(sum_s2 * 0.10000158) - ((sum_s2 + sum_s1) * 0.100007676))"
11,0.0026508947,"((1.1049862 ^ sum_s2) - ((sum_s1 + (sum_s2 ^ 0.9983495)) * 0.09998656))"
13,0.002650147,"((1.105088 ^ sum_s2) - ((((sum_s1 * 1.0019286) + sum_s2) - -0.002382065) * 0.09981191))"
15,0.0026471051,"((1.1049862 ^ sum_s2) - (((sum_s1 + ((sum_s2 + 0.27272776) ^ 0.99836314)) - 0.27188203) * 0.09998679))"
