Complexity,Loss,Equation
1,0.24155872,"0.72150946"
3,0.21260144,"(sum_g ^ -0.18897992)"
5,0.15912175,"(0.91663665 ^ (sum_g - sum_s2))"
6,0.15912174,"exp((sum_g - sum_s2) * -0.087040275)"
7,0.005853513,"((sum_g * -0.10002425) + (1.1050701 ^ sum_s2))"
8,0.005853507,"(exp(sum_s2 * 0.09990894) + (sum_g * -0.10002439))"
9,0.005812861,"((1.10501 ^ sum_s2) - ((sum_g + 0.007778764) * 0.09991143))"
10,0.005812185,"(exp((0.0073190755 - sum_s2) * -0.099922046) + (sum_g * -0.09993279))"
11,0.005810237,"((1.1050061 ^ (sum_s2 - -0.006581695)) - ((sum_g - -0.014191159) * 0.0999567))"
12,0.005713061,"(((sum_g - (exp(sum_s2) * -2.8494622e-7)) * -0.100018375) + (1.1050702 ^ sum_s2))"
13,0.0057114456,"(exp(sum_s2 * 0.09991143) + ((sum_g - (exp(sum_s2) * -2.8750463e-7)) * -0.100018375))"
14,0.005627981,"(((sum_g - (exp(sum_g - sum_s2) * 2.3353729e-7)) * -0.10002638) + (1.1050633 ^ sum_s2))"
15,0.005607486,"(((sum_g + ((sum_s2 * 0.06395584) ^ (2.0606503 * sum_g))) * -0.10002425) + (1.1050702 ^ sum_s2))"
